sim_id,pity_threshold,player_type,population_share,fatigue,boxes_opened,boxes_opened_weighted,utility,revenue,dev_cost_allocated,net_revenue,participated
23,90,F2P,0.65,0.4306361221666738,0.0,0.0,0.0,0.0,0.0,0.0,0
24,90,Whale,0.05,0.07871881152725115,90.00000477583858,4.500000238791929,2684.590621032873,17.370000921736846,0.225,17.145000921736845,1
24,90,Casual,0.3,0.1449819122851714,17.747703755496268,5.3243111266488805,80.37813723332906,20.551840948864676,1.3499999999999999,19.201840948864675,1
24,90,F2P,0.65,0.43534667765263246,3.3237000724866497,2.1604050471163223,6.64235279750848,8.339163481869004,2.9250000000000003,5.414163481869004,1
25,90,Whale,0.05,0.07145409394085556,53.88773510964372,2.6943867554821863,682.6370697567852,10.400332876161238,0.225,10.175332876161239,1
25,90,Casual,0.3,0.1381480523955722,14.532191101688484,4.359657330506545,107.48541539587933,16.828277295755264,1.3499999999999999,15.478277295755264,1
25,90,F2P,0.65,0.5891385450492321,0.0,0.0,0.0,0.0,0.0,0.0,0
26,90,Whale,0.05,0.06507011984763456,61.53301347236871,3.0766506736184356,621.7609240852615,11.87587160016716,0.225,11.65087160016716,1
26,90,Casual,0.3,0.19473904910280448,6.733702965887711,2.0201108897663134,26.050323039241015,7.797628034497969,1.3499999999999999,6.44762803449797,1
26,90,F2P,0.65,0.43416617565267346,0.0,0.0,0.0,0.0,0.0,0.0,0
27,90,Whale,0.05,0.033554295888976716,44.307631267946164,2.215381563397308,268.0456431602664,8.551372834713609,0.225,8.32637283471361,1
27,90,Casual,0.3,0.14756974701868972,5.019589393853759,1.5058768181561277,10.406939417572051,5.812684518082653,1.3499999999999999,4.4626845180826535,1
27,90,F2P,0.65,0.5148010641228951,0.0,0.0,0.0,0.0,0.0,0.0,0
28,90,Whale,0.05,0.05871281819458371,62.14215514180618,3.107107757090309,643.2749026354912,11.993435942368592,0.225,11.768435942368592,1
28,90,Casual,0.3,0.17255388828032814,11.324868903329877,3.397460670998963,39.92672425089252,13.114198190055996,1.3499999999999999,11.764198190055996,1
28,90,F2P,0.65,0.4544625056258296,0.0,0.0,0.0,0.0,0.0,0.0,0
29,90,Whale,0.05,0.035890177610906696,90.00000477583858,4.500000238791929,1655.1193796548853,17.370000921736846,0.225,17.145000921736845,1
29,90,Casual,0.3,0.18099841209251294,21.864244388410913,6.5592733165232735,181.2814190354054,25.318795001779836,1.3499999999999999,23.968795001779835,1
29,90,F2P,0.65,0.5877063123846051,0.0,0.0,0.0,0.0,0.0,0.0,0
30,90,Whale,0.05,0.03764250074380636,44.29265875997766,2.2146329379988834,297.20437399715206,8.548483140675689,0.225,8.32348314067569,1
30,90,Casual,0.3,0.15571834880045107,8.692736127981163,2.607820838394349,25.84299155453216,10.066188436202186,1.3499999999999999,8.716188436202186,1
30,90,F2P,0.65,0.5651632933379468,0.0,0.0,0.0,0.0,0.0,0.0,0
31,90,Whale,0.05,0.043019965357323595,40.721172181071225,2.0360586090535615,260.89736447406665,7.859186230946746,0.225,7.634186230946747,1
31,90,Casual,0.3,0.19188614877537685,6.67352704208949,2.002058112626847,16.250534104100232,7.727944314739629,1.3499999999999999,6.377944314739629,1
31,90,F2P,0.65,0.40670129073242445,1.2289849961892743,0.7988402475230283,1.8131218262688684,3.083523355438889,2.9250000000000003,0.15852335543888874,1
32,90,Whale,0.05,0.07660302231479738,68.64334709907274,3.4321673549536373,924.5262420068944,13.24816599012104,0.225,13.02316599012104,1
32,90,Casual,0.3,0.14167999045483493,17.128982835845836,5.13869485075375,120.88171468137543,19.835362123909476,1.3499999999999999,18.485362123909475,1
32,90,F2P,0.65,0.5245017248295267,0.0,0.0,0.0,0.0,0.0,0.0,0
